iter	Passed	Remaining
0	1	1428
1	1	978
2	2	842
3	3	761
4	3	715
5	4	666
6	4	651
7	4	611
8	5	602
9	5	577
10	6	557
11	6	553
12	7	548
13	7	542
14	8	530
15	8	523
16	8	513
17	9	507
18	9	504
19	10	505
20	10	495
21	11	493
22	11	492
23	12	491
24	12	490
25	12	484
26	13	478
27	13	473
28	13	468
29	14	468
30	14	463
31	15	459
32	15	453
33	15	450
34	16	448
35	16	445
36	16	441
37	17	438
38	17	435
39	18	436
40	18	435
41	19	436
42	19	434
43	19	431
44	20	429
45	20	428
46	20	425
47	21	425
48	21	424
49	22	425
50	22	422
51	23	420
52	23	417
53	23	415
54	24	412
55	24	411
56	24	411
57	25	409
58	25	407
59	25	405
60	26	403
61	26	401
62	26	399
63	27	397
64	27	397
65	28	397
66	28	395
67	28	392
68	28	391
69	29	390
70	29	388
71	30	387
72	30	385
73	30	385
74	31	384
75	31	382
76	31	380
77	32	380
78	32	380
79	33	381
80	33	380
81	33	379
82	34	377
83	34	377
84	34	376
85	35	375
86	35	374
87	35	372
88	36	372
89	36	371
90	37	370
91	37	370
92	37	370
93	38	369
94	38	369
95	39	369
96	39	368
97	39	367
98	40	368
99	40	366
100	41	365
101	41	364
102	41	365
103	42	364
104	42	365
105	43	364
106	43	362
107	43	361
108	44	360
109	44	359
110	44	358
111	45	358
112	45	357
113	45	356
114	46	356
115	46	357
116	47	356
117	47	355
118	47	354
119	48	354
120	48	353
121	48	352
122	49	352
123	49	351
124	50	350
125	50	349
126	50	348
127	50	347
128	51	346
129	51	346
130	52	345
131	52	344
132	52	343
133	53	342
134	53	343
135	53	342
136	54	342
137	54	342
138	55	341
139	55	340
140	55	339
141	56	339
142	56	338
143	56	338
144	57	337
145	57	337
146	58	337
147	58	336
148	58	335
149	59	334
150	59	334
151	59	333
152	60	333
153	60	332
154	60	332
155	61	331
156	61	331
157	62	331
158	62	330
159	62	329
160	62	328
161	63	327
162	63	326
163	63	325
164	64	325
165	64	324
166	65	324
167	65	323
168	65	322
169	65	322
170	66	321
171	66	320
172	67	320
173	67	320
174	67	320
175	68	319
176	68	318
177	69	318
178	69	318
179	70	318
180	70	318
181	71	319
182	71	318
183	71	317
184	72	318
185	72	317
186	72	317
187	73	316
188	73	315
189	74	315
190	74	315
191	74	314
192	75	314
193	75	314
194	76	313
195	76	314
196	77	314
197	77	313
198	77	313
199	78	312
200	78	312
201	78	311
202	79	310
203	79	310
204	80	310
205	80	309
206	80	309
207	81	308
208	81	307
209	81	307
210	81	306
211	82	307
212	83	307
213	83	307
214	83	306
215	84	306
216	84	306
217	85	305
218	85	305
219	85	304
220	86	304
221	86	304
222	87	303
223	87	303
224	87	303
225	88	302
226	88	302
227	89	301
228	89	301
229	89	301
230	90	300
231	90	299
232	90	299
233	91	298
234	91	298
235	91	297
236	92	297
237	92	296
238	92	295
239	93	295
240	93	294
241	94	294
242	94	294
243	94	293
244	95	293
245	95	293
246	96	292
247	96	292
248	96	291
249	97	291
250	97	291
251	97	290
252	98	290
253	98	290
254	99	289
255	99	289
256	100	289
257	100	288
258	100	288
259	101	288
260	101	287
261	102	287
262	102	287
263	103	287
264	103	286
265	103	286
266	104	286
267	104	285
268	104	285
269	105	284
270	105	284
271	106	283
272	106	283
273	106	282
274	107	282
275	107	282
276	107	281
277	108	281
278	108	280
279	109	280
280	109	280
281	110	280
282	110	279
283	110	279
284	111	279
285	111	278
286	112	278
287	112	278
288	113	278
289	113	277
290	113	277
291	114	277
292	114	277
293	115	276
294	115	276
295	116	276
296	116	276
297	117	275
298	117	275
299	117	275
300	118	274
301	118	274
302	119	274
303	119	273
304	120	273
305	120	273
306	120	272
307	121	272
308	121	271
